d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan,hijri_date
2020-01-01,07:03:00,08:03:00,09:06:00,13:04:00,14:34:00,14:45:00,14:45:00,15:30:00,17:02:00,17:07:00,18:59:00,19:14:00,0,0
2020-01-02,07:03:00,08:03:00,09:06:00,13:04:00,14:34:00,14:46:00,14:46:00,15:31:00,17:03:00,17:08:00,18:59:00,19:14:00,0,0
2020-01-03,07:03:00,08:03:00,09:06:00,13:05:00,14:35:00,14:47:00,14:47:00,15:32:00,17:04:00,17:09:00,19:00:00,19:15:00,0,0
2020-01-04,07:03:00,08:03:00,09:06:00,13:05:00,14:35:00,14:48:00,14:48:00,15:33:00,17:05:00,17:10:00,19:01:00,19:16:00,0,0
2020-01-05,07:03:00,08:03:00,09:05:00,13:06:00,14:36:00,14:49:00,14:49:00,15:34:00,17:06:00,17:11:00,19:02:00,19:17:00,0,0
2020-01-06,07:02:00,08:02:00,09:05:00,13:06:00,14:36:00,14:50:00,14:50:00,15:35:00,17:07:00,17:12:00,19:03:00,19:18:00,0,0
2020-01-07,07:02:00,08:02:00,09:05:00,13:07:00,14:37:00,14:51:00,14:51:00,15:36:00,17:09:00,17:14:00,19:04:00,19:19:00,0,0
2020-01-08,07:02:00,08:02:00,09:04:00,13:07:00,14:37:00,14:52:00,14:52:00,15:37:00,17:10:00,17:15:00,19:06:00,19:21:00,0,0
2020-01-09,07:02:00,08:02:00,09:04:00,13:07:00,14:37:00,14:53:00,14:53:00,15:38:00,17:11:00,17:16:00,19:07:00,19:22:00,0,0
2020-01-10,07:02:00,08:02:00,09:03:00,13:08:00,14:38:00,14:54:00,14:54:00,15:39:00,17:13:00,17:18:00,19:08:00,19:23:00,0,0
2020-01-11,07:01:00,08:01:00,09:03:00,13:08:00,14:38:00,14:56:00,14:56:00,15:41:00,17:14:00,17:19:00,19:09:00,19:24:00,0,0
2020-01-12,07:01:00,08:01:00,09:02:00,13:09:00,14:39:00,14:57:00,14:57:00,15:42:00,17:16:00,17:21:00,19:10:00,19:25:00,0,0
2020-01-13,07:00:00,08:00:00,09:01:00,13:09:00,14:39:00,14:58:00,14:58:00,15:43:00,17:17:00,17:22:00,19:11:00,19:26:00,0,0
2020-01-14,07:00:00,08:00:00,09:01:00,13:09:00,14:39:00,14:59:00,14:59:00,15:44:00,17:19:00,17:24:00,19:13:00,19:28:00,0,0
2020-01-15,06:59:00,07:59:00,09:00:00,13:10:00,14:40:00,15:01:00,15:01:00,15:46:00,17:20:00,17:25:00,19:14:00,19:29:00,0,0
2020-01-16,06:59:00,07:59:00,08:59:00,13:10:00,14:40:00,15:02:00,15:02:00,15:47:00,17:22:00,17:27:00,19:15:00,19:30:00,0,0
2020-01-17,06:58:00,07:58:00,08:58:00,13:10:00,14:40:00,15:03:00,15:03:00,15:48:00,17:23:00,17:28:00,19:16:00,19:31:00,0,0
2020-01-18,06:58:00,07:58:00,08:57:00,13:11:00,14:41:00,15:04:00,15:04:00,15:49:00,17:25:00,17:30:00,19:18:00,19:33:00,0,0
2020-01-19,06:57:00,07:57:00,08:56:00,13:11:00,14:41:00,15:06:00,15:06:00,15:51:00,17:26:00,17:31:00,19:19:00,19:34:00,0,0
2020-01-20,06:56:00,07:56:00,08:55:00,13:11:00,14:41:00,15:07:00,15:07:00,15:52:00,17:28:00,17:33:00,19:20:00,19:35:00,0,0
2020-01-21,06:55:00,07:55:00,08:54:00,13:12:00,14:42:00,15:09:00,15:09:00,15:54:00,17:30:00,17:35:00,19:22:00,19:37:00,0,0
2020-01-22,06:55:00,07:55:00,08:53:00,13:12:00,14:42:00,15:10:00,15:10:00,15:55:00,17:31:00,17:36:00,19:23:00,19:38:00,0,0
2020-01-23,06:54:00,07:54:00,08:52:00,13:12:00,14:42:00,15:11:00,15:11:00,15:56:00,17:33:00,17:38:00,19:25:00,19:40:00,0,0
2020-01-24,06:53:00,07:53:00,08:51:00,13:12:00,14:42:00,15:13:00,15:13:00,15:58:00,17:35:00,17:40:00,19:26:00,19:41:00,0,0
2020-01-25,06:52:00,07:52:00,08:49:00,13:13:00,14:43:00,15:14:00,15:14:00,15:59:00,17:37:00,17:42:00,19:28:00,19:43:00,0,0
2020-01-26,06:51:00,07:51:00,08:48:00,13:13:00,14:43:00,15:16:00,15:16:00,16:01:00,17:38:00,17:43:00,19:29:00,19:44:00,0,0
2020-01-27,06:50:00,07:50:00,08:47:00,13:13:00,14:43:00,15:17:00,15:17:00,16:02:00,17:40:00,17:45:00,19:30:00,19:45:00,0,0
2020-01-28,06:49:00,07:49:00,08:46:00,13:13:00,14:43:00,15:18:00,15:18:00,16:03:00,17:42:00,17:47:00,19:32:00,19:47:00,0,0
2020-01-29,06:48:00,07:48:00,08:44:00,13:13:00,14:43:00,15:20:00,15:20:00,16:05:00,17:44:00,17:49:00,19:33:00,19:48:00,0,0
2020-01-30,06:47:00,07:47:00,08:43:00,13:14:00,14:44:00,15:21:00,15:21:00,16:06:00,17:45:00,17:50:00,19:35:00,19:50:00,0,0
2020-01-31,06:45:00,07:45:00,08:41:00,13:14:00,14:44:00,15:23:00,15:23:00,16:08:00,17:47:00,17:52:00,19:36:00,19:51:00,0,0
2020-02-01,06:44:00,07:44:00,08:40:00,13:14:00,14:44:00,15:24:00,15:24:00,16:09:00,17:49:00,17:54:00,19:38:00,19:53:00,0,0
2020-02-02,06:43:00,07:43:00,08:38:00,13:14:00,14:44:00,15:26:00,15:26:00,16:11:00,17:51:00,17:56:00,19:40:00,19:55:00,0,0
2020-02-03,06:42:00,07:42:00,08:37:00,13:14:00,14:44:00,15:27:00,15:27:00,16:12:00,17:53:00,17:58:00,19:41:00,19:56:00,0,0
2020-02-04,06:40:00,07:40:00,08:35:00,13:14:00,14:44:00,15:29:00,15:29:00,16:14:00,17:54:00,17:59:00,19:43:00,19:58:00,0,0
2020-02-05,06:39:00,07:39:00,08:33:00,13:14:00,14:44:00,15:30:00,15:30:00,16:15:00,17:56:00,18:01:00,19:44:00,19:59:00,0,0
2020-02-06,06:38:00,07:38:00,08:32:00,13:14:00,14:44:00,15:31:00,15:31:00,16:16:00,17:58:00,18:03:00,19:46:00,20:01:00,0,0
