d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan,hijri_date
18-01-01,03:49,04:45,05:19,12:16,12:45,15:37,16:56,17:30,19:07,19:12,20:34,20:45,0,0
18-01-02,03:49,04:45,05:20,12:17,13:20,15:37,16:57,17:30,19:07,19:12,20:34,20:45,0,0
18-01-03,03:50,04:45,05:20,12:17,12:45,15:38,16:57,17:30,19:07,19:12,20:34,20:45,0,0
18-01-04,03:51,04:45,05:21,12:18,13:20,15:38,16:58,17:30,19:07,19:12,20:34,20:45,0,0
18-01-05,03:52,04:45,05:22,12:18,13:20,15:39,16:58,17:30,19:08,19:12,20:34,20:45,0,0
18-01-06,03:53,04:45,05:22,12:19,13:20,15:40,16:58,17:30,19:08,19:13,20:34,20:45,0,0
18-01-07,03:54,04:45,05:23,12:19,13:20,15:40,16:59,17:30,19:08,19:13,20:34,20:45,0,0
18-01-08,03:55,04:45,05:24,12:19,13:20,15:41,16:59,17:30,19:08,19:13,20:34,20:45,0,0
18-01-09,03:55,04:45,05:25,12:20,13:20,15:41,16:59,17:30,19:08,19:13,20:34,20:45,0,0
18-01-10,03:56,04:45,05:25,12:20,12:45,15:42,17:00,17:30,19:08,19:13,20:34,20:45,0,0
18-01-11,03:57,04:45,05:26,12:21,13:20,15:42,17:00,17:30,19:08,19:13,20:34,20:45,0,0
18-01-12,03:58,04:45,05:27,12:21,13:20,15:43,17:00,17:30,19:08,19:13,20:34,20:45,0,0
18-01-13,03:59,04:45,05:28,12:21,13:20,15:43,17:01,17:30,19:08,19:13,20:34,20:45,0,0
18-01-14,04:00,04:45,05:28,12:22,13:20,15:44,17:01,17:30,19:08,19:13,20:33,20:45,0,0
18-01-15,04:01,04:45,05:29,12:22,13:20,15:44,17:01,17:30,19:08,19:13,20:33,20:45,0,0
18-01-16,04:02,05:00,05:30,12:23,13:20,15:45,17:01,17:30,19:08,19:13,20:33,20:45,0,0
18-01-17,04:03,05:00,05:31,12:23,12:45,15:45,17:02,17:30,19:08,19:13,20:33,20:45,0,0
18-01-18,04:04,05:00,05:32,12:23,13:20,15:46,17:02,17:30,19:08,19:13,20:32,20:45,0,0
18-01-19,04:05,05:00,05:32,12:24,13:20,15:46,17:02,17:30,19:08,19:12,20:32,20:45,0,0
18-01-20,04:06,05:00,05:33,12:24,13:20,15:47,17:02,17:30,19:07,19:12,20:31,20:45,0,0
18-01-21,04:07,05:00,05:34,12:24,13:20,15:47,17:02,17:30,19:07,19:12,20:31,20:45,0,0
