"city","lat","lng","country"
"Tokyo","35.6850","139.7514","Japan"
"New York","40.6943","-73.9249","United States"
"Mexico City","19.4424","-99.1310","Mexico"
"Mumbai","19.0170","72.8570","India"
"São Paulo","-23.5587","-46.6250","Brazil"
"Delhi","28.6700","77.2300","India"
"Shanghai","31.2165","121.4365","China"
"Kolkata","22.4950","88.3247","India"
"Los Angeles","34.1139","-118.4068","United States"
"Dhaka","23.7231","90.4086","Bangladesh"
"Buenos Aires","-34.6025","-58.3975","Argentina"
"Karachi","24.8700","66.9900","Pakistan"
"Cairo","30.0500","31.2500","Egypt"
"Rio de Janeiro","-22.9250","-43.2250","Brazil"
"Ōsaka","34.7500","135.4601","Japan"
"Beijing","39.9289","116.3883","China"
"Manila","14.6042","120.9822","Philippines"
"Moscow","55.7522","37.6155","Russia"
"Istanbul","41.1050","29.0100","Turkey"
"Paris","48.8667","2.3333","France"
"Seoul","37.5663","126.9997","Korea, South"
"Lagos","6.4433","3.3915","Nigeria"
"Jakarta","-6.1744","106.8294","Indonesia"
"Guangzhou","23.1450","113.3250","China"
"Chicago","41.8373","-87.6862","United States"
"London","51.5000","-0.1167","United Kingdom"
"Lima","-12.0480","-77.0501","Peru"
"Tehran","35.6719","51.4243","Iran"
"Kinshasa","-4.3297","15.3150","Congo (Kinshasa)"
"Bogotá","4.5964","-74.0833","Colombia"
"Shenzhen","22.5524","114.1221","China"
"Wuhan","30.5800","114.2700","China"
"Hong Kong","22.3050","114.1850","Hong Kong"
"Tianjin","39.1300","117.2000","China"
"Chennai","13.0900","80.2800","India"
"Taipei","25.0358","121.5683","Taiwan"
"Bengalūru","12.9700","77.5600","India"
"Bangkok","13.7500","100.5166","Thailand"
"Lahore","31.5600","74.3500","Pakistan"
"Chongqing","29.5650","106.5950","China"
"Miami","25.7839","-80.2102","United States"
"Hyderabad","17.4000","78.4800","India"
"Dallas","32.7936","-96.7662","United States"
"Santiago","-33.4500","-70.6670","Chile"
"Philadelphia","40.0077","-75.1339","United States"
"Belo Horizonte","-19.9150","-43.9150","Brazil"
"Madrid","40.4000","-3.6834","Spain"
"Houston","29.7869","-95.3905","United States"
"Ahmadābād","23.0301","72.5800","India"
"Ho Chi Minh City","10.7800","106.6950","Vietnam"
"Washington","38.9047","-77.0163","United States"
"Atlanta","33.7627","-84.4225","United States"
