d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan,hijri_date
2019-01-01,06:26:00,06:45:00,08:03:00,12:09:00,12:45:00,13:46:00,13:46:00,14:30:00,16:05:00,16:10:00,17:42:00,19:20:00,0,0
2019-01-02,06:26:00,06:45:00,08:03:00,12:09:00,12:45:00,13:47:00,13:47:00,14:30:00,16:06:00,16:11:00,17:43:00,19:20:00,0,0
2019-01-03,06:26:00,06:45:00,08:03:00,12:10:00,12:45:00,13:48:00,13:48:00,14:30:00,16:07:00,16:12:00,17:44:00,19:20:00,0,0
2019-01-04,06:26:00,06:45:00,08:03:00,12:10:00,12:30:00,13:49:00,13:49:00,14:30:00,16:08:00,16:13:00,17:45:00,19:20:00,0,0
2019-01-05,06:25:00,06:45:00,08:02:00,12:11:00,12:45:00,13:50:00,13:50:00,14:30:00,16:09:00,16:14:00,17:46:00,19:20:00,0,0
2019-01-06,06:25:00,06:45:00,08:02:00,12:11:00,12:45:00,13:51:00,13:51:00,14:30:00,16:11:00,16:16:00,17:48:00,19:20:00,0,0
2019-01-07,06:25:00,06:45:00,08:02:00,12:12:00,12:45:00,13:52:00,13:52:00,14:30:00,16:12:00,16:17:00,17:49:00,19:20:00,0,0
2019-01-08,06:24:00,06:45:00,08:01:00,12:12:00,12:45:00,13:53:00,13:53:00,14:30:00,16:13:00,16:18:00,17:50:00,19:20:00,0,0
2019-01-09,06:24:00,06:45:00,08:01:00,12:13:00,12:45:00,13:54:00,13:54:00,14:30:00,16:15:00,16:20:00,17:52:00,19:20:00,0,0
2019-01-10,06:23:00,06:45:00,08:00:00,12:13:00,12:45:00,13:55:00,13:55:00,14:30:00,16:16:00,16:21:00,17:53:00,19:20:00,0,0
2019-01-11,06:23:00,06:45:00,08:00:00,12:13:00,12:30:00,13:57:00,13:57:00,14:45:00,16:17:00,16:22:00,17:54:00,19:20:00,0,0
2019-01-12,06:22:00,06:45:00,07:59:00,12:14:00,12:45:00,13:58:00,13:58:00,14:45:00,16:19:00,16:24:00,17:56:00,19:20:00,0,0
2019-01-13,06:21:00,06:45:00,07:58:00,12:14:00,12:45:00,13:59:00,13:59:00,14:45:00,16:20:00,16:25:00,17:57:00,19:20:00,0,0
2019-01-14,06:20:00,06:45:00,07:57:00,12:14:00,12:45:00,14:00:00,14:00:00,14:45:00,16:22:00,16:27:00,17:59:00,19:20:00,0,0
2019-01-15,06:20:00,06:45:00,07:57:00,12:15:00,12:45:00,14:02:00,14:02:00,14:45:00,16:23:00,16:28:00,18:00:00,19:20:00,0,0
2019-01-16,06:19:00,06:45:00,07:56:00,12:15:00,12:45:00,14:03:00,14:03:00,14:45:00,16:25:00,16:30:00,18:02:00,19:20:00,0,0
2019-01-17,06:18:00,06:45:00,07:55:00,12:16:00,12:45:00,14:04:00,14:04:00,14:45:00,16:27:00,16:32:00,18:04:00,19:20:00,0,0
2019-01-18,06:17:00,06:45:00,07:54:00,12:16:00,12:30:00,14:05:00,14:05:00,15:00:00,16:28:00,16:33:00,18:05:00,19:20:00,0,0
2019-01-19,06:16:00,06:45:00,07:53:00,12:16:00,12:45:00,14:07:00,14:07:00,15:00:00,16:30:00,16:35:00,18:07:00,19:20:00,0,0
2019-01-20,06:15:00,06:45:00,07:52:00,12:16:00,12:45:00,14:08:00,14:08:00,15:00:00,16:31:00,16:36:00,18:08:00,19:20:00,0,0
2019-01-21,06:14:00,06:45:00,07:51:00,12:17:00,12:45:00,14:10:00,14:10:00,15:00:00,16:33:00,16:38:00,18:10:00,19:20:00,0,0
2019-01-22,06:13:00,06:45:00,07:50:00,12:17:00,12:45:00,14:11:00,14:11:00,15:00:00,16:35:00,16:40:00,18:12:00,19:20:00,0,0
2019-01-23,06:12:00,06:45:00,07:49:00,12:17:00,12:45:00,14:12:00,14:12:00,15:00:00,16:37:00,16:42:00,18:14:00,19:20:00,0,0
2019-01-24,06:10:00,06:45:00,07:47:00,12:18:00,12:45:00,14:14:00,14:14:00,15:00:00,16:38:00,16:43:00,18:15:00,19:20:00,0,0
2019-01-25,06:09:00,06:45:00,07:46:00,12:18:00,12:30:00,14:15:00,14:15:00,15:00:00,16:40:00,16:45:00,18:17:00,19:20:00,0,0
2019-01-26,06:08:00,06:45:00,07:45:00,12:18:00,12:45:00,14:17:00,14:17:00,15:00:00,16:42:00,16:47:00,18:19:00,19:20:00,0,0
2019-01-27,06:06:00,06:43:00,07:43:00,12:18:00,12:45:00,14:18:00,14:18:00,15:00:00,16:43:00,16:48:00,18:20:00,19:20:00,0,0
2019-01-28,06:05:00,06:42:00,07:42:00,12:18:00,12:45:00,14:20:00,14:20:00,15:00:00,16:45:00,16:50:00,18:22:00,19:20:00,0,0
2019-01-29,06:04:00,06:41:00,07:41:00,12:19:00,12:45:00,14:21:00,14:21:00,15:00:00,16:47:00,16:52:00,18:24:00,19:20:00,0,0
2019-01-30,06:02:00,06:39:00,07:39:00,12:19:00,12:45:00,14:22:00,14:22:00,15:00:00,16:49:00,16:54:00,18:26:00,19:20:00,0,0
2019-01-31,06:01:00,06:38:00,07:38:00,12:19:00,12:45:00,14:24:00,14:24:00,15:00:00,16:51:00,16:56:00,18:28:00,19:20:00,0,0
2019-02-01,05:59:00,06:36:00,07:36:00,12:19:00,12:30:00,14:25:00,14:25:00,15:15:00,16:52:00,16:57:00,18:28:00,19:20:00,0,0
2019-02-02,05:58:00,06:35:00,07:35:00,12:19:00,12:45:00,14:27:00,14:27:00,15:15:00,16:54:00,16:59:00,18:29:00,19:20:00,0,0
2019-02-03,05:56:00,06:33:00,07:33:00,12:19:00,12:45:00,14:28:00,14:28:00,15:15:00,16:56:00,17:01:00,18:30:00,19:20:00,0,0
2019-02-04,05:55:00,06:32:00,07:32:00,12:19:00,12:45:00,14:30:00,14:30:00,15:15:00,16:58:00,17:03:00,18:32:00,19:20:00,0,0
2019-02-05,05:53:00,06:30:00,07:30:00,12:19:00,12:45:00,14:31:00,14:31:00,15:15:00,17:00:00,17:05:00,18:33:00,19:20:00,0,0
2019-02-06,05:51:00,06:28:00,07:28:00,12:20:00,12:45:00,14:33:00,14:33:00,15:15:00,17:02:00,17:07:00,18:35:00,19:20:00,0,0
2019-02-07,05:50:00,06:27:00,07:27:00,12:20:00,12:45:00,14:34:00,14:34:00,15:15:00,17:03:00,17:08:00,18:35:00,19:20:00,0,0
2019-02-08,05:48:00,06:25:00,07:25:00,12:20:00,12:30:00,14:35:00,14:35:00,15:30:00,17:05:00,17:10:00,18:37:00,19:20:00,0,0
2019-02-09,05:46:00,06:23:00,07:23:00,12:20:00,12:45:00,14:37:00,14:37:00,15:30:00,17:07:00,17:12:00,18:38:00,19:20:00,0,0
2019-02-10,05:44:00,06:21:00,07:21:00,12:20:00,12:45:00,14:38:00,14:38:00,15:30:00,17:09:00,17:14:00,18:40:00,19:20:00,0,0
2019-02-11,05:43:00,06:20:00,07:20:00,12:20:00,12:45:00,14:40:00,14:40:00,15:30:00,17:11:00,17:16:00,18:42:00,19:20:00,0,0
2019-02-12,05:41:00,06:18:00,07:18:00,12:20:00,12:45:00,14:41:00,14:41:00,15:30:00,17:13:00,17:18:00,18:44:00,19:20:00,0,0
2019-02-13,05:39:00,06:16:00,07:16:00,12:20:00,12:45:00,14:43:00,14:43:00,15:30:00,17:14:00,17:19:00,18:44:00,19:20:00,0,0
2019-02-14,05:37:00,06:14:00,07:14:00,12:20:00,12:45:00,14:44:00,14:44:00,15:30:00,17:16:00,17:21:00,18:46:00,19:20:00,0,0
2019-02-15,05:35:00,06:12:00,07:12:00,12:20:00,12:30:00,14:45:00,14:45:00,15:45:00,17:18:00,17:23:00,18:48:00,19:20:00,0,0
2019-02-16,05:33:00,06:10:00,07:10:00,12:20:00,12:45:00,14:47:00,14:47:00,15:45:00,17:20:00,17:25:00,18:50:00,19:20:00,0,0
2019-02-17,05:31:00,06:08:00,07:08:00,12:20:00,12:45:00,14:48:00,14:48:00,15:45:00,17:22:00,17:27:00,18:51:00,19:20:00,0,0
2019-02-18,05:29:00,06:06:00,07:06:00,12:19:00,12:45:00,14:50:00,14:50:00,15:45:00,17:23:00,17:28:00,18:52:00,19:20:00,0,0
2019-02-19,05:27:00,06:04:00,07:04:00,12:19:00,12:45:00,14:51:00,14:51:00,15:45:00,17:25:00,17:30:00,18:54:00,19:20:00,0,0
2019-02-20,05:25:00,06:02:00,07:02:00,12:19:00,12:45:00,14:52:00,14:52:00,15:45:00,17:27:00,17:32:00,18:56:00,19:20:00,0,0
2019-02-21,05:23:00,06:00:00,07:00:00,12:19:00,12:45:00,14:54:00,14:54:00,15:45:00,17:29:00,17:34:00,18:57:00,19:20:00,0,0
2019-02-22,05:21:00,05:58:00,06:58:00,12:19:00,12:30:00,14:55:00,14:55:00,16:00:00,17:31:00,17:36:00,18:59:00,19:30:00,0,0
2019-02-23,05:19:00,05:56:00,06:56:00,12:19:00,12:45:00,14:56:00,14:56:00,16:00:00,17:33:00,17:38:00,19:01:00,19:30:00,0,0
2019-02-24,05:17:00,05:54:00,06:54:00,12:19:00,12:45:00,14:58:00,14:58:00,16:00:00,17:34:00,17:39:00,19:02:00,19:30:00,0,0
2019-02-25,05:15:00,05:52:00,06:52:00,12:19:00,12:45:00,14:59:00,14:59:00,16:00:00,17:36:00,17:41:00,19:03:00,19:30:00,0,0
